145771 - COURO BOV.ACAB. ECO SOFT,CAMEL,10/12MM(119/2)|OC-190336/189483 OI-
3028|190,4300|06,10
145277 - COURO BOV.,ECO SOFT,PRETO,09/11MM(56/2)|OC-192824-191743 OI-
3117|101,6000|07,10
145277 - COURO BOV.,ECO SOFT,PRETO,09/11MM(39/2)|OC-192824-191743 OI-
3117|73,5100|07,10
145771 - COURO BOV.ACAB. ECO SOFT,CAMEL,10/12MM(2/2)|OC-192824-191743 OI-
3117|3,1300|06,10
156627 - COURO BOV.,ACAB. NAPA MINUANO,PINHÃO,11/13MM(1/2)|OC- 9396111 OI - 3095|2,0000|6,16
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 2349311 OI - 2745|17,2800|12,19
142351 - COURO BOV.,ACAB. NAPA MINUANO,PRETO,10/12MM|OC- 4298611 OI - 2827|33,0200|12,84
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 2114211 OI - 2727|21,8600|5,97
156629 - COURO BOV.,ACAB.,NAPA MINUANO,PRETO 8513,11/13MM|OC - 2349311 OI - 2745|27,5000|13,04
151670 - COURO BOV.,ACAB. ATHENAS VEG, NATURAL,06/08MM(20/2|OC - 2349311 OI - 2745|2,0000|3,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 5819011 OI - 3008|56,1300|38,25
155708 - COURO BOV.,ACAB. COW LINING Z,CASTOR,13/15MM(98/2)|OC - 2349311 OI - 2745|10,4300|3,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 2349311 OI - 2745|2,0000|6,87
149616 - CAMURÇA CINZA 8632 10/12"GONÇALVES(95PC)|OC-  258811 OI - 2884|2,0000|3,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 5207811 OI - 2949|2,8000|3,00
149618 - CAMURÇA PRETO 8634 10/12"GONÇALVES(210PC)|OC- 52209911 OI - 2897|2,0000|21,27
151265 - CAL WC REALEZA BEIGE 08/10"WEST(AMOS)(2/2)|OC -4956211 OI - 2896|9,7200|26,36
151266 - CAL WC BORBA PRETO 11/13"WEST - CAL 0032-11(2/2)|OC- 52209911 OI - 2897|2,0000|59,78
151268 - CAL WC PONTA GROSSA BEIGE 13/15"WEST CAL 0016-11|OC- 6657711 OI - 2992|454,0800|73,60
154042 - CAL NAPA STOCK PRETO 11/13" CAL 0029-11(2/2)|OC- 8003111|37,2100|81,46
